US_bath,compressed_air,degreasing,dry_tissue,plasma,plasma_distance,plasma_passes,plasma_power,plasma_speed,posttreatment,pretreatment,roughening,scenario,loss,failureMode,cost,Feasibility,FinalcontactAngle,c1,seed
0,0,1,0,1,6.088442359046129,14,456.9197722040299,240.53828060913327,0,1,0,3,7.849156296655366,adhesive failure,2.2337963006645385,1.0,16.66253498390597,1.0,573887
0,0,1,0,1,6.366920490248606,7,472.649524573935,122.41055634496252,0,1,0,3,7.8544230292974415,adhesive failure,2.233480382388656,1.0,16.490136676699045,1.0,627050
0,0,1,0,1,5.904824328137086,14,463.8475141950663,215.91960117494654,0,1,0,3,7.853412933213353,adhesive failure,2.2358641092948783,1.0,16.523265234993836,1.0,422658
0,0,1,0,1,6.651251459427011,15,460.8415764527861,241.71833075151864,0,1,0,3,7.8466093036567015,adhesive failure,2.2349968316717694,1.0,16.74560923725287,1.0,210961
0,0,1,0,1,5.972863911321487,9,471.0645440233442,160.11513130075792,0,1,0,3,7.857487682039711,adhesive failure,2.233176503676103,1.0,16.389435006137894,1.0,584670
0,0,1,0,1,6.012471816982865,7,428.50130790285317,122.82687360970445,0,1,0,3,7.795069146028736,adhesive failure,2.233416506451981,1.0,18.386807377349804,1.0,110291
0,0,1,0,1,5.9017787321554485,18,427.5720672628843,207.97358730920206,0,1,0,3,7.771186863622558,adhesive failure,2.242622852878645,1.0,19.122978515530825,1.0,308633
0,0,1,0,1,5.877892511954987,24,451.6586871649817,249.23972555027785,0,1,0,3,7.784837647593678,adhesive failure,2.2456607742174013,1.0,18.703994203968772,1.0,917824
0,0,1,0,1,5.947192279664758,20,408.7718710769664,247.4689937508995,0,1,0,3,7.728390473064525,adhesive failure,2.2408356735293493,1.0,20.406817764508183,1.0,24349
0,0,1,0,1,5.942887079528814,15,390.44065865114015,235.7440044335584,0,1,0,3,7.663243770110651,adhesive failure,2.235480502130142,1.0,22.281573853446165,1.0,280941
0,0,1,0,1,5.875275307555466,18,462.38204508695304,249.5435153787937,0,1,0,3,7.844645873014436,adhesive failure,2.2381357518305656,1.0,16.809518231572994,1.0,53087
0,0,1,0,1,6.267258654589313,7,459.28903958757036,123.28306472539614,0,1,0,3,7.849733722088309,adhesive failure,2.2333532509777676,1.0,16.643674447932156,1.0,150744
0,0,1,0,1,5.952694329256275,13,469.25889360334617,226.06309152256497,0,1,0,3,7.857630753586705,adhesive failure,2.2335802543383796,1.0,16.384726840708097,1.0,338457
0,0,1,0,1,6.079842072917836,6,463.83614363757823,111.56955693568752,0,1,0,3,7.853168278752085,adhesive failure,2.2324185134542187,1.0,16.531284644324604,1.0,565494
0,0,1,0,1,6.434862726015976,12,444.7994104937506,189.77122901355176,0,1,0,3,7.829039539981791,adhesive failure,2.235362483931147,1.0,17.31349119982494,1.0,932068
0,0,1,0,1,6.012006963443963,9,390.35344941022436,138.8154984655695,0,1,0,3,7.6631241286437595,adhesive failure,2.235856030391787,1.0,22.284934740521063,1.0,708247
0,0,1,0,1,6.191468471146545,7,475.9955288994047,129.18518315810567,0,1,0,3,7.854324809103265,adhesive failure,2.2325464229925407,1.0,16.4933593986337,1.0,343925
0,0,1,0,1,5.962106798067131,11,468.28747505892426,184.88639119781053,0,1,0,3,7.8572382669681415,adhesive failure,2.2342000768312085,1.0,16.397641210613337,1.0,718886
0,0,1,0,1,6.1099145083592825,10,423.62709093662113,157.5754098517852,0,1,0,3,7.783996215223665,adhesive failure,2.23543152654994,1.0,18.729958208513153,1.0,835557
0,0,1,0,1,5.975821415813107,16,440.43617046806236,153.74521966001512,0,1,0,3,7.75018577341673,adhesive failure,2.2480811713400835,1.0,19.75847857245057,1.0,688620
0,0,1,0,1,5.882585414783391,22,427.59187878589,249.4899049120982,0,1,0,3,7.768136865192103,adhesive failure,2.243130685352754,1.0,19.215948082873176,1.0,156929
0,0,1,0,1,6.0585571450447855,5,392.8746169259673,77.17430132025758,0,1,0,3,7.674089917055436,adhesive failure,2.2358419782217265,1.0,21.975685576941913,1.0,283333
0,0,1,0,1,6.119360321816848,5,468.89713795886973,90.96608708127748,0,1,0,3,7.855822049861125,adhesive failure,2.232788799092603,1.0,16.44420146816873,1.0,193254
0,0,1,0,1,5.910950988308522,19,453.5604604243686,249.09333906220738,0,1,0,3,7.831715610947144,adhesive failure,2.2394260053791832,1.0,17.227573309816083,1.0,439122
0,0,1,0,1,6.061776465192947,10,413.96496350132463,172.33640557458813,0,1,0,3,7.751473068181464,adhesive failure,2.233737780898454,1.0,19.719834077665524,1.0,590967
0,0,1,0,1,6.06711134994236,15,465.70278826829883,246.31529944384476,0,1,0,3,7.855411280561709,adhesive failure,2.234636471349946,1.0,16.45769474219097,1.0,747656
0,0,1,0,1,6.941867626625769,19,425.5077780206967,245.5579060523913,0,1,0,3,7.769766998357724,adhesive failure,2.2397650776016897,1.0,19.166287581099564,1.0,834320
0,0,1,0,1,5.916401574997063,12,464.91086216711244,208.1863235196858,0,1,0,3,7.856444831127749,adhesive failure,2.2336218381039172,1.0,16.423734101772062,1.0,283754
0,0,1,0,1,5.9941861789812405,7,472.65324997003125,124.680656819287,0,1,0,3,7.85725188877373,adhesive failure,2.2331560293194777,1.0,16.397193077552593,1.0,73640
0,0,1,0,1,6.086176326130802,6,455.7037566021403,102.02029679609291,0,1,0,3,7.84793181780713,adhesive failure,2.2339859170352163,1.0,16.702497416893458,1.0,953853
