US_bath,compressed_air,degreasing,dry_tissue,plasma,plasma_distance,plasma_passes,plasma_power,plasma_speed,posttreatment,pretreatment,roughening,scenario,tensileStrength,VisualQ,failureMode,cost,Feasibility,FinalcontactAngle
1,0,0,0,0,4.0,1,300.0,5.0,1,1,0,5,4.838604058961241,2.0,adhesive failure,3.340499266369172,1.0,75.68496
0,1,0,0,0,4.0,1,300.0,5.0,0,1,1,4,4.73817542204341,2.0,adhesive failure,5.104840412202506,1.0,77.55072
1,0,0,0,1,16.837986917395362,48,495.8077639867875,220.90190035303712,0,1,0,3,4.678375532502965,1.0,adhesive failure,2.8278645595117595,1.0,78.68410240987353
1,0,0,0,0,4.0,1,300.0,5.0,0,1,1,4,4.553148875540939,2.0,adhesive failure,5.726832599702505,1.0,81.12
1,0,0,0,0,4.0,1,300.0,5.0,1,1,0,5,4.838604058961241,2.0,adhesive failure,3.340499266369172,1.0,75.68496
0,0,0,1,0,4.0,1,300.0,5.0,0,1,1,4,5.592666084349947,2.0,adhesive failure,5.159832599702506,1.0,62.62464000000001
0,1,0,0,0,4.0,1,300.0,5.0,0,1,0,2,4.899841772861162,2.0,adhesive failure,1.7840070788691726,1.0,74.568
0,1,0,0,0,4.0,1,300.0,5.0,0,1,0,2,4.899841772861162,2.0,adhesive failure,1.7840070788691726,1.0,74.568
0,0,0,0,0,4.0,1,300.0,5.0,0,0,0,1,4.7143578975934375,2.0,adhesive failure,1.4714992663691724,1.0,78.0
0,0,1,0,1,18.913619620988996,19,359.3854566899067,96.12635656106679,1,1,1,6,4.999204799714546,1.0,adhesive failure,5.988043163322088,1.0,72.78477848781968
0,0,0,1,1,18.418232564004718,22,300.43788616462433,15.281484918344201,0,1,0,3,5.691985638489612,1.0,adhesive failure,2.6413091088914094,1.0,60.9670265812196
0,0,0,1,1,13.571794961682667,6,359.43179723486355,19.306037528472533,1,1,1,6,5.864198823820141,1.0,adhesive failure,5.978267333655524,1.0,58.0957661428405
0,0,1,0,0,4.0,1,300.0,5.0,1,1,0,5,5.040561863431046,2.0,adhesive failure,2.251499266369173,1.0,72.05208192
0,1,0,0,0,4.0,1,300.0,5.0,0,1,0,2,4.899841772861162,2.0,adhesive failure,1.7840070788691726,1.0,74.568
0,0,0,1,1,5.352361149269745,41,482.88540942397725,178.9032943464348,0,1,0,3,7.110359411608178,2.0,adhesive failure,2.2645627042600642,1.0,35.54806441450801
0,0,0,1,0,4.0,1,300.0,5.0,1,1,0,5,5.844241634220034,2.0,adhesive failure,2.206499266369172,1.0,58.42878912000001
1,0,0,0,1,11.217994053929248,49,408.4106423231147,172.4839760489665,0,1,0,3,5.381781292954752,1.0,adhesive failure,2.8486400344019267,1.0,66.16807791036021
1,0,0,0,0,4.0,1,300.0,5.0,0,1,0,2,4.7143578975934375,2.0,adhesive failure,2.405999266369172,1.0,78.0
1,0,0,0,1,10.561247084359792,3,334.8373663150758,143.5234913633646,1,1,1,6,5.868391441380959,1.0,adhesive failure,7.022006922249239,1.0,58.02578400787535
1,0,0,0,0,4.0,1,300.0,5.0,0,1,1,4,4.553148875540939,2.0,adhesive failure,5.726832599702505,1.0,81.12
0,1,0,0,0,4.0,1,300.0,5.0,0,1,1,4,4.73817542204341,2.0,adhesive failure,5.104840412202506,1.0,77.55072
1,0,0,0,0,4.0,1,300.0,5.0,0,1,1,4,4.553148875540939,2.0,adhesive failure,5.726832599702505,1.0,81.12
0,0,1,0,1,16.849893806785012,18,466.5848204109585,92.55682568381954,1,1,1,6,5.002277723952476,1.0,adhesive failure,5.987081536773504,1.0,72.7301559117394
0,0,0,0,0,4.0,1,300.0,5.0,0,0,0,1,4.7143578975934375,2.0,adhesive failure,1.4714992663691724,1.0,78.0
0,1,0,0,0,4.0,1,300.0,5.0,0,1,0,2,4.899841772861162,2.0,adhesive failure,1.7840070788691726,1.0,74.568
1,0,0,0,1,9.681901785521353,26,367.6819438299409,215.02758531933685,1,1,1,6,6.8593953567092685,1.0,adhesive failure,7.053149624781646,1.0,40.59051981160709
0,1,0,0,0,4.0,1,300.0,5.0,1,1,0,5,5.023437998889708,2.0,adhesive failure,2.0965148913691722,1.0,72.35482176000001
0,1,0,0,0,4.0,1,300.0,5.0,0,1,1,4,4.73817542204341,2.0,adhesive failure,5.104840412202506,1.0,77.55072
0,0,0,1,0,4.0,1,300.0,5.0,1,1,0,5,5.844241634220034,2.0,adhesive failure,2.206499266369172,1.0,58.42878912000001
