scenario,plasma_distance,plasma_passes,plasma_power,plasma_speed,pretreatment,loss,c1,macrorep,iteration,cumulative_max_loss,c1_cumulative_max_loss,best_row_number
1,12.212343915877069,20,477.95414165043746,210.557125540722,degreasing,4.610153113234325,2.0,1,1,0.0,0,1
1,9.76330448691887,44,497.66344863630616,154.76345272081008,US_bath,4.610153113234325,2.0,1,2,0.0,0,1
2,19.19647557627514,26,412.6963442935522,39.68970964396954,dry_tissue,5.344496983939775,2.0,1,3,0.0,0,1
3,10.669263607465972,37,404.2033059482093,36.9754774989,degreasing,3.3081719365211066,1.0,1,4,3.3081719365211066,1,4
2,19.238486476784892,49,423.61055776696145,140.12921593634925,compressed_air,6.169630649169978,2.0,1,5,3.3081719365211066,1,4
3,11.61684096764867,30,483.5369791786118,219.30964276601213,compressed_air,6.764675896038353,1.0,1,6,6.764675896038353,1,6
3,8.83889523494636,36,494.7320927482211,27.54349909119765,dry_tissue,2.7623528211445625,1.0,1,7,6.764675896038353,1,6
2,19.247603736660594,27,423.0738932706679,248.46712187965207,degreasing,5.043512751384506,2.0,1,8,6.764675896038353,1,6
2,6.356152122758745,25,420.3118424076561,192.45437757516018,compressed_air,6.169630649169978,2.0,1,9,6.764675896038353,1,6
3,15.192003058219354,45,412.98960192949016,10.168974466832802,degreasing,4.682930804095485,1.0,1,10,6.764675896038353,1,6
2,7.383749640913198,7,435.0320643529732,154.24723685434967,degreasing,5.043512751384506,2.0,1,11,6.764675896038353,1,6
3,18.58873964223467,43,375.17436451030767,185.1407429089119,dry_tissue,5.301507172894187,1.0,1,12,6.764675896038353,1,6
1,17.383210611487243,46,438.440700882743,45.1430794499054,dry_tissue,4.610153113234325,2.0,1,13,6.764675896038353,1,6
3,15.109275698136555,22,473.177428149038,67.73786793026125,US_bath,4.581356462450506,1.0,1,14,6.764675896038353,1,6
2,15.935175942164541,3,390.33467949076146,240.8387776893198,dry_tissue,5.344496983939775,2.0,1,15,6.764675896038353,1,6
3,19.0000144817095,49,441.24079779130784,71.62710195026754,dry_tissue,5.300749266991813,1.0,1,16,6.764675896038353,1,6
2,16.981179427757624,36,363.02374723776995,148.89114601214672,compressed_air,6.169630649169978,2.0,1,17,6.764675896038353,1,6
1,10.105338860486146,37,337.70211568452777,39.30031916934388,degreasing,4.610153113234325,2.0,1,18,6.764675896038353,1,6
1,9.085724795481312,44,325.1685212022412,174.4238458503726,compressed_air,4.610153113234325,2.0,1,19,6.764675896038353,1,6
2,18.357198435800584,41,366.5571331121937,192.69091610393997,degreasing,5.043512751384506,2.0,1,20,6.764675896038353,1,6
1,16.374693260758598,10,362.4496742555691,230.10508934131965,degreasing,4.610153113234325,2.0,1,21,6.764675896038353,1,6
2,9.149145297163278,6,409.4066616326365,57.874134404843176,US_bath,4.610153113234325,2.0,1,22,6.764675896038353,1,6
3,12.961073379762471,39,403.2696966661641,155.24818518698865,dry_tissue,5.476467154053179,1.0,1,23,6.764675896038353,1,6
3,19.494063486179527,25,433.67609454276896,116.5952588198439,degreasing,5.001986472793536,1.0,1,24,6.764675896038353,1,6
1,15.316816988087494,39,366.5104442619902,237.15840536270773,dry_tissue,4.610153113234325,2.0,1,25,6.764675896038353,1,6
3,11.611657660373396,47,316.28502010808734,151.940237793512,compressed_air,6.443967390168666,1.0,1,26,6.764675896038353,1,6
2,15.725775961785898,29,472.3612454625859,62.28620092465225,degreasing,5.043512751384506,2.0,1,27,6.764675896038353,1,6
3,6.23764189373534,18,351.32546054276816,112.20459721699264,dry_tissue,7.20819869016217,1.0,1,28,7.20819869016217,1,28
2,8.513780279638457,27,389.3104327888395,60.6856374540345,compressed_air,6.169630649169978,2.0,1,29,7.20819869016217,1,28
2,14.236901519961805,27,314.07585656230646,219.82174245328346,compressed_air,6.169630649169978,2.0,1,30,7.20819869016217,1,28
1,9.59643403005098,10,357.6440690531327,163.3069535250595,US_bath,4.610153113234325,2.0,1,31,7.20819869016217,1,28
3,18.93582782408707,36,390.7411071586045,48.77039326417462,US_bath,4.572159404553602,1.0,1,32,7.20819869016217,1,28
3,18.11635079800432,5,441.66575919048057,158.7339453753499,degreasing,5.002921634458019,1.0,1,33,7.20819869016217,1,28
2,8.92301967434536,37,499.97798772583917,96.1637101430052,dry_tissue,5.344496983939775,2.0,1,34,7.20819869016217,1,28
1,6.048765692184578,29,302.4161190583812,32.53952940032518,degreasing,4.610153113234325,2.0,1,35,7.20819869016217,1,28
2,16.2256511287057,33,436.57272032324965,244.42673783345148,US_bath,4.610153113234325,2.0,1,36,7.20819869016217,1,28
3,11.167493276798378,22,482.79841951669675,103.1033020437215,US_bath,5.510764634905035,1.0,1,37,7.20819869016217,1,28
2,18.108769917594927,48,400.27980717805985,72.58478176289019,degreasing,5.043512751384506,2.0,1,38,7.20819869016217,1,28
3,4.163265727149705,34,376.89921020409344,122.78359414471825,US_bath,6.333840788664395,2.0,1,39,7.20819869016217,1,28
3,9.801460893631916,15,357.84516757492895,173.5915056653027,degreasing,6.916933910848435,1.0,1,40,7.20819869016217,1,28
2,12.39466703933739,25,439.8781540316313,136.42651808593516,dry_tissue,5.344496983939775,2.0,1,41,7.20819869016217,1,28
1,6.99370745271885,22,498.9391997987698,61.82086507703053,US_bath,4.610153113234325,2.0,1,42,7.20819869016217,1,28
1,14.96806483379242,11,385.84785972232663,136.73793296223624,compressed_air,4.610153113234325,2.0,1,43,7.20819869016217,1,28
