scenario,plasma_distance,plasma_passes,plasma_power,plasma_speed,pretreatment,loss,c1,macrorep,iteration,cumulative_max_loss,c1_cumulative_max_loss,best_row_number
5,11.691989821695886,47,372.51826117039894,75.43134104478008,compressed_air,5.023437998889708,2.0,1,39,7.47122571861277,1,19
5,12.522191504625624,50,316.7043916775382,153.11055203043475,dry_tissue,5.844241634220034,2.0,1,40,7.47122571861277,1,19
3,15.849477708162906,28,357.5073934138146,94.4317051671484,compressed_air,4.866090959865182,1.0,1,41,7.47122571861277,1,19
5,8.92914594618295,35,341.6692751709959,110.16362815985015,degreasing,5.040561863431046,2.0,1,42,7.47122571861277,1,19
2,13.835698402308113,16,350.3810828887659,118.43373039585958,degreasing,4.917088687688938,2.0,1,43,7.47122571861277,1,19
1,18.531636386835913,27,478.65324259426166,155.12169682056515,degreasing,4.7143578975934375,2.0,1,44,7.47122571861277,1,19
6,17.709500037521977,38,433.69657289170317,54.89512888415381,dry_tissue,5.798737494044322,1.0,1,45,7.47122571861277,1,19
1,12.585743968618177,34,471.68288157373667,62.5729082393424,dry_tissue,4.7143578975934375,2.0,1,46,7.47122571861277,1,19
1,8.170896299692515,17,492.46364744583764,201.98321467345787,US_bath,4.7143578975934375,2.0,1,47,7.47122571861277,1,19
5,12.980347745759488,25,423.1621500824813,54.850796855640446,degreasing,5.040561863431046,2.0,1,48,7.47122571861277,1,19
5,13.27197603972339,33,449.4519303513477,182.5605143067174,compressed_air,5.023437998889708,2.0,1,49,7.47122571861277,1,19
1,5.908048815313965,38,409.33153068818916,149.04892070126493,degreasing,4.7143578975934375,2.0,1,50,7.47122571861277,1,19
3,17.308817802460982,36,497.6930759667782,17.78572469917775,compressed_air,4.842322730637354,1.0,1,51,7.47122571861277,1,19
5,19.180730419925737,14,466.42730160869974,33.94160174939418,US_bath,4.838604058961241,2.0,1,52,7.47122571861277,1,19
5,15.810869840398146,47,330.0672643243689,223.57863176836244,US_bath,4.838604058961241,2.0,1,53,7.47122571861277,1,19
3,8.418892119801203,28,433.4832684679742,203.79313659124145,degreasing,7.36864785137759,1.0,1,54,7.47122571861277,1,19
5,14.727006012414044,33,410.41401173224335,223.1628854527914,dry_tissue,5.844241634220034,2.0,1,55,7.47122571861277,1,19
2,4.615769759430545,6,417.32297447413185,39.0099494481276,US_bath,4.7143578975934375,2.0,1,56,7.47122571861277,1,19
1,13.538331104415963,35,454.5382604052962,197.25678176858813,US_bath,4.7143578975934375,2.0,1,57,7.47122571861277,1,19
1,18.497438515636425,16,380.2225898541728,125.34434896579752,US_bath,4.7143578975934375,2.0,1,58,7.47122571861277,1,19
1,6.679836362386077,8,380.27568007485684,65.48682870519315,US_bath,4.7143578975934375,2.0,1,59,7.47122571861277,1,19
5,7.613974945953425,20,401.1436397955259,151.59584273746228,dry_tissue,5.844241634220034,2.0,1,60,7.47122571861277,1,19
6,8.110751461683078,3,457.85404144591143,207.68571357046898,degreasing,7.1393931857977115,1.0,1,61,7.47122571861277,1,19
3,8.065542015905157,32,475.18316144844516,169.3459992118751,degreasing,7.0253892395100594,1.0,1,62,7.47122571861277,1,19
3,6.752567379890888,19,417.48550921055124,227.43726025530134,degreasing,7.622374087693386,1.0,1,63,7.622374087693386,1,63
3,8.282846735138389,13,424.2664171313827,248.9061203901773,degreasing,7.580823370952644,1.0,1,64,7.622374087693386,1,63
3,5.909752708382713,16,415.0506487453672,199.228074358529,degreasing,7.630021039734224,2.0,1,65,7.622374087693386,1,63
6,7.75109292900301,13,414.5444965953356,245.19805217119904,degreasing,7.608900867575231,1.0,1,66,7.622374087693386,1,63
6,9.508299663958933,16,415.0613071733182,222.61903495817543,degreasing,7.348603998049006,1.0,1,67,7.622374087693386,1,63
6,7.661984563511919,15,418.32915169912326,233.19160696532953,degreasing,7.641340251988648,1.0,1,68,7.641340251988648,1,68
6,7.83760477214398,18,413.72520391369835,249.58244882937998,degreasing,7.611079758031531,1.0,1,69,7.641340251988648,1,68
6,7.82653584710507,15,417.0081809896226,244.64459387874746,degreasing,7.6263958595120425,1.0,1,70,7.641340251988648,1,68
6,7.655384382890166,11,414.69140003838834,237.67510859078553,degreasing,7.592504025366931,1.0,1,71,7.641340251988648,1,68
6,7.567618712219406,18,418.03267932444186,232.70236519591387,degreasing,7.635116237469739,1.0,1,72,7.641340251988648,1,68
6,7.631115170689967,16,415.82602713394124,230.89848091495406,degreasing,7.63214864129222,1.0,1,73,7.641340251988648,1,68
6,7.665297772615938,17,418.8430986892595,242.22705246997313,degreasing,7.641180260303684,1.0,1,74,7.641340251988648,1,68
6,7.71268459535404,16,418.68706346248365,240.56560002401287,dry_tissue,7.783841295834649,1.0,1,75,7.783841295834649,1,75
6,8.352390680395368,15,422.66320588206565,226.53907374623856,dry_tissue,7.759655842364365,1.0,1,76,7.783841295834649,1,75
6,7.9315872369335985,14,418.77205908070613,242.1320527096685,dry_tissue,7.7720788897981645,1.0,1,77,7.783841295834649,1,75
6,8.233021175628236,13,421.2331654466644,226.02752123307107,dry_tissue,7.761719165954168,1.0,1,78,7.783841295834649,1,75
6,8.552458366165313,14,421.83847731649035,225.55438156110233,dry_tissue,7.740894792340073,1.0,1,79,7.783841295834649,1,75
6,7.862109641079574,12,417.34115432054205,242.9394677497485,dry_tissue,7.7580479715202415,1.0,1,80,7.783841295834649,1,75
6,7.449995452193798,13,417.84300452565816,227.9658744946231,dry_tissue,7.786653662331464,1.0,1,81,7.786653662331464,1,81
6,7.222284203979678,15,418.4410465018469,225.17809901704842,dry_tissue,7.7975421674463465,1.0,1,82,7.7975421674463465,1,82
5,7.1650994608545195,15,417.5481179119119,239.78518697876416,dry_tissue,5.844241634220034,2.0,1,83,7.7975421674463465,1,82
6,8.206433016798588,14,418.4911268043301,236.55940011276985,dry_tissue,7.757078071884204,1.0,1,84,7.7975421674463465,1,82
6,7.763791971258112,13,418.9395084197169,225.16911172318007,dry_tissue,7.779813682667387,1.0,1,85,7.7975421674463465,1,82
6,8.080189443038067,16,421.1261240072154,234.54057079047016,dry_tissue,7.772789468677116,1.0,1,86,7.7975421674463465,1,82
6,7.543437343154677,16,418.0220591389199,233.61547071035324,dry_tissue,7.787379412562107,1.0,1,87,7.7975421674463465,1,82
6,7.128080534243579,14,418.9298423573158,229.83969554432343,dry_tissue,7.800189973087522,1.0,1,88,7.800189973087522,1,88
6,7.3620445740412706,16,418.5907164233628,240.93353799311146,dry_tissue,7.794625445710639,1.0,1,89,7.800189973087522,1,88
6,7.598179611325347,14,421.80362846848016,226.32107534091597,dry_tissue,7.795987602688667,1.0,1,90,7.800189973087522,1,88
4,7.802751155964556,15,420.2658167432448,231.3462219641443,dry_tissue,5.592666084349947,2.0,1,91,7.800189973087522,1,88
