scenario,plasma_distance,plasma_passes,plasma_power,plasma_speed,pretreatment,loss,c1,macrorep,iteration,cumulative_max_loss,c1_cumulative_max_loss,best_row_number
1,12.212343915877069,20,477.95414165043746,210.557125540722,degreasing,5.1578740393252875,2.0,1,1,0.0,0,1
1,9.76330448691887,44,497.66344863630616,154.76345272081008,US_bath,5.1578740393252875,2.0,1,2,0.0,0,1
2,19.19647557627514,26,412.6963442935522,39.68970964396954,dry_tissue,5.482512240078982,2.0,1,3,0.0,0,1
3,10.669263607465972,37,404.2033059482093,36.9754774989,degreasing,3.6797378316119786,1.0,1,4,3.6797378316119786,1,4
2,19.238486476784892,49,423.61055776696145,140.12921593634925,compressed_air,5.230876540401368,2.0,1,5,3.6797378316119786,1,4
3,11.61684096764867,30,483.5369791786118,219.30964276601213,compressed_air,6.0604144639911475,1.0,1,6,6.0604144639911475,1,6
3,8.83889523494636,36,494.7320927482211,27.54349909119765,dry_tissue,2.7666354443676147,1.0,1,7,6.0604144639911475,1,6
2,19.247603736660594,27,423.0738932706679,248.46712187965207,degreasing,5.570215689412569,2.0,1,8,6.0604144639911475,1,6
2,6.356152122758745,25,420.3118424076561,192.45437757516018,compressed_air,5.230876540401368,2.0,1,9,6.0604144639911475,1,6
3,15.192003058219354,45,412.98960192949016,10.168974466832802,degreasing,5.223616089621203,1.0,1,10,6.0604144639911475,1,6
2,7.383749640913198,7,435.0320643529732,154.24723685434967,degreasing,5.570215689412569,2.0,1,11,6.0604144639911475,1,6
3,18.58873964223467,43,375.17436451030767,185.1407429089119,dry_tissue,5.439026545809509,1.0,1,12,6.0604144639911475,1,6
1,17.383210611487243,46,438.440700882743,45.1430794499054,dry_tissue,5.1578740393252875,2.0,1,13,6.0604144639911475,1,6
3,15.109275698136555,22,473.177428149038,67.73786793026125,US_bath,5.124207290491897,1.0,1,14,6.0604144639911475,1,6
2,15.935175942164541,3,390.33467949076146,240.8387776893198,dry_tissue,5.482512240078982,2.0,1,15,6.0604144639911475,1,6
3,19.0000144817095,49,441.24079779130784,71.62710195026754,dry_tissue,5.438286383926985,1.0,1,16,6.0604144639911475,1,6
2,16.981179427757624,36,363.02374723776995,148.89114601214672,compressed_air,5.230876540401368,2.0,1,17,6.0604144639911475,1,6
1,10.105338860486146,37,337.70211568452777,39.30031916934388,degreasing,5.1578740393252875,2.0,1,18,6.0604144639911475,1,6
1,9.085724795481312,44,325.1685212022412,174.4238458503726,compressed_air,5.1578740393252875,2.0,1,19,6.0604144639911475,1,6
2,18.357198435800584,41,366.5571331121937,192.69091610393997,degreasing,5.570215689412569,2.0,1,20,6.0604144639911475,1,6
1,16.374693260758598,10,362.4496742555691,230.10508934131965,degreasing,5.1578740393252875,2.0,1,21,6.0604144639911475,1,6
2,9.149145297163278,6,409.4066616326365,57.874134404843176,US_bath,5.1578740393252875,2.0,1,22,6.0604144639911475,1,6
