US_bath,compressed_air,degreasing,dry_tissue,plasma,plasma_distance,plasma_passes,plasma_power,plasma_speed,posttreatment,pretreatment,roughening,scenario,loss,failureMode,cost,Feasibility,FinalcontactAngle,c1,seed
0,0,0,1,1,5.99570570221846,15,433.3715186180206,237.0127310033472,1,1,1,6,7.84861142166091,adhesive failure,5.9012115418978075,1.0,16.680323194370857,1.0,573887
0,0,0,1,1,6.68384374866729,9,414.81703955281284,139.1002249912213,1,1,1,6,7.7965663614474625,adhesive failure,5.901650234662632,1.0,18.3401615572238,1.0,627050
0,0,0,1,1,6.090295551062016,6,436.8864836611947,99.42391776943411,1,1,1,6,7.854911835853893,adhesive failure,5.900296085446874,1.0,16.47409401388616,1.0,422658
0,0,0,1,1,6.300264537266905,8,453.79027490570144,138.04198477134472,1,1,1,6,7.879147722302163,adhesive failure,5.899551689693677,1.0,15.66943933258199,1.0,210961
0,0,0,1,1,6.501302704955083,22,404.92452263335474,195.9666563625341,1,1,1,6,7.702807777056339,adhesive failure,5.916461774570803,1.0,21.153946640141392,1.0,584670
0,0,0,1,1,6.0914313589572,10,417.859958750552,144.63534154843666,1,1,1,6,7.809701081876943,adhesive failure,5.903032671459152,1.0,17.928378422699982,1.0,110291
0,0,0,1,1,6.082737819211203,13,422.65262532187285,221.55603770922994,1,1,1,6,7.82154756557391,adhesive failure,5.899774215659557,1.0,17.552946532711612,1.0,308633
0,0,0,1,1,6.104745022819626,9,435.51839060450135,141.3216261819414,1,1,1,6,7.8522247983155244,adhesive failure,5.901335317411284,1.0,16.56219365526278,1.0,917824
0,0,0,1,1,6.117907057118002,7,455.16130158208455,121.08861167383182,1,1,1,6,7.881944239438203,adhesive failure,5.899506794919757,1.0,15.575402311708787,1.0,24349
0,0,0,1,1,6.04688423896547,7,470.0809560572507,132.97136164593888,1,1,1,6,7.88929537224615,adhesive failure,5.8978986749115165,1.0,15.327003160835549,1.0,280941
0,0,0,1,1,6.062095419983059,8,465.3035095581255,136.03530607723232,1,1,1,6,7.8898666423698405,adhesive failure,5.899818924275199,1.0,15.307625779733085,1.0,53087
0,0,0,1,1,6.102702563449533,10,387.5983652146569,127.75426371702633,1,1,1,6,7.704247586993594,adhesive failure,5.905874743236836,1.0,21.112283294282104,1.0,150744
0,0,0,1,1,6.287079989500591,10,467.853541993151,179.8361865193246,1,1,1,6,7.888729094442007,adhesive failure,5.898821618535921,1.0,15.346200638877422,1.0,338457
0,0,0,1,1,6.239110947349231,3,465.8720447475979,52.93566046126833,1,1,1,6,7.88872681637728,adhesive failure,5.899153669132488,1.0,15.346277846706466,1.0,565494
0,0,0,1,1,5.9583216261811005,13,464.63819475325823,221.45883537814265,1,1,1,6,7.890197480764437,adhesive failure,5.899785659955507,1.0,15.296398899740362,1.0,932068
0,0,0,1,1,6.092736589230555,13,439.0467200259468,232.55350217509732,1,1,1,6,7.856952579593571,adhesive failure,5.8989112654176905,1.0,16.407038514879574,1.0,708247
0,1,0,0,1,6.189188520461887,27,412.86504607508465,188.88681954576822,1,1,1,6,7.428313218370999,adhesive failure,5.816033293927379,1.0,28.399279103947308,1.0,343925
0,0,0,1,1,6.073254367999715,5,472.2737642820859,110.53335125670982,1,1,1,6,7.878845509723986,adhesive failure,5.895591154074423,1.0,15.679586656964098,1.0,718886
0,0,0,1,1,5.988042939753005,10,462.9620375732609,196.3449130064456,1,1,1,6,7.884970848853941,adhesive failure,5.897364805078338,1.0,15.473344042897189,1.0,835557
0,0,0,1,1,6.193812753987463,13,408.5857576359153,230.1121385830887,1,1,1,6,7.7768406182399135,adhesive failure,5.899093607084674,1.0,18.950022880171844,1.0,688620
0,0,0,1,1,5.971562089506633,14,435.74286238458893,223.0441436317961,1,1,1,6,7.853568467713797,adhesive failure,5.901049816372273,1.0,16.518166107485825,1.0,156929
0,0,0,1,1,6.244007304733474,20,452.83149649085607,245.70640834752973,1,1,1,6,7.857195187213671,adhesive failure,5.906854544130477,1.0,16.399058420410757,1.0,283333
0,0,0,1,1,6.02064464799302,17,467.1418077776207,238.1094459337251,1,1,1,6,7.881236371463207,adhesive failure,5.90374029489393,1.0,15.599229176769771,1.0,193254
0,0,0,1,1,7.456224039239933,20,413.7834047986625,187.61077473661354,1,1,1,6,7.721291768203976,adhesive failure,5.914700288916598,1.0,20.61560379502753,1.0,439122
0,0,0,1,1,6.021603252144584,18,457.14300471396245,245.39428543246493,1,1,1,6,7.874621369173675,adhesive failure,5.904348480588117,1.0,15.821114790337356,1.0,590967
0,0,0,1,1,5.964802577946789,12,469.066695162437,208.86077366684967,1,1,1,6,7.89148327064666,adhesive failure,5.899397520119002,1.0,15.252731899927143,1.0,747656
0,0,0,1,1,6.488963489499051,11,464.85194056105547,221.8859666921067,1,1,1,6,7.880630876388906,adhesive failure,5.896942597572219,1.0,15.61959737179427,1.0,834320
0,0,0,1,1,6.063350336465532,9,449.92339269113353,170.33304211981974,0,1,0,3,7.858665709081842,adhesive failure,2.2096245309563365,1.0,16.35065019756757,1.0,283754
0,0,0,1,1,5.980176985059663,10,401.8408508678367,236.461434351429,0,1,0,3,7.6943838515812235,adhesive failure,2.206336236771932,1.0,21.396806659084916,1.0,73640
0,0,0,1,1,6.028183961519604,11,462.9148763510091,193.8114074991422,1,1,1,6,7.888696358554697,adhesive failure,5.899179489236927,1.0,15.347310102345089,1.0,953853
